ADP-ribosylation_factor-binding_protein_GGA1_isoform_X1	Other	Other
ADP-ribosylation_factor-binding_protein_GGA1_isoform_X2	Other	Other
ADP-ribosylation_factor-binding_protein_GGA1_isoform_X5	Other	Other
aminoacylase-1-like	Other	Other
baculoviral_IAP_repeat-containing_protein_6-like,_partial	Other	Other
CCR4-NOT_transcription_complex_subunit_10_isoform_X3	Other	Other
cytochrome_P450_18a1	CYP18a1	Clan_2
cytochrome_P450_302a1,_mitochondrial	CYP302a1_mito	Clan_M
cytochrome_P450_302a1,_mitochondrial_isoform_X1	CYP302a1-mito	Clan_M
cytochrome_P450_302a1,_mitochondrial-like	CYP302a1-mito	Clan_M
cytochrome_P450_306a1	CYP306a1	Clan_2
cytochrome_P450_306a1_isoform_X1	CYP306a1	Clan_2
cytochrome_P450_306a1_isoform_X2	CYP306a1	Clan_2
cytochrome_P450_306a1_isoform_X3	CYP306a1	Clan_2
cytochrome_P450_307a1	CYP307a1	Clan_2
cytochrome_P450_307a1-like	CYP307a1	Clan_2
cytochrome_P450_315a1,_mitochondrial	CYP315-mito	Clan_M
cytochrome_P450_4aa1	CYP4aa1	Clan_4
cytochrome_P450_4C1	CYP4C1	Clan_4
cytochrome_P450_4C1_isoform_X1	CYP4C1	Clan_4
cytochrome_P450_4C1_isoform_X2	CYP4C1	Clan_4
cytochrome_P450_4C1_isoform_X3	CYP4C1	Clan_4
cytochrome_P450_4C1_isoform_X4	CYP4C1	Clan_4
cytochrome_P450_4C1-like	CYP4C1	Clan_4
cytochrome_P450_4C1-like_isoform_X1	CYP4C1	Clan_4
cytochrome_P450_4C1-like_isoform_X2	CYP4C1	Clan_4
cytochrome_P450_4C1-like_isoform_X3	CYP4C1	Clan_4
cytochrome_P450_4C1-like_isoform_X6	CYP4C1	Clan_4
cytochrome_P450_4c3	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X10	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X2	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X3	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X4	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X7	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X8	CYP4c3	Clan_4
cytochrome_P450_4c3_isoform_X9	CYP4c3	Clan_4
