species_label, speciations, duplications, losses, transfers, presence, origination
Node_Csec_Rspe_0, 44, 2, 5, 0, 1, 0
Node_Dpun_Pame_0, 52, 3, 9, 0, 1, 0
Node_Tsin_Mrel_0, 44, 1, 11, 0, 1, 0
Node_Sstr_Pgib_0, 49, 48, 0, 0, 1, 1
Node_Mvio_Dtru_0, 45, 11, 24, 0, 1, 0
Node_Choo_Daus_0, 29, 2, 6, 0, 1, 0
Node_Bros_Choo_0, 33, 5, 8, 0, 1, 0
Node_Tcri_Bros_0, 36, 1, 30, 0, 1, 0
Node_Tcri_Mvio_0, 65, 3, 23, 0, 1, 0
Node_Xbra_Sgre_0, 56, 30, 7, 0, 1, 0
Node_Vvia_Xbra_0, 33, 7, 12, 0, 1, 0
Node_Eocu_Vvia_0, 38, 6, 25, 0, 1, 0
Node_Tocc_Gbim_0, 41, 0, 5, 0, 1, 0
Node_Rspe_Cfor_0, 38, 3, 9, 0, 1, 0
Node_Adom_Tocc_0, 46, 13, 3, 0, 1, 0
Node_Mtha_Lkoh_0, 42, 2, 17, 0, 1, 0
Node_Mtha_Eocu_0, 57, 1, 29, 0, 1, 0
Ztra, 33, 1, 7, 0, 1, 0
Eocu, 33, 1, 7, 0, 1, 0
Gbim, 25, 2, 18, 0, 1, 0
Node_Lnig_Bput_0, 51, 6, 7, 0, 1, 0
Node_Etor_Salt_0, 23, 2, 9, 0, 1, 0
Node_Dtru_Hcor_0, 56, 12, 1, 0, 1, 0
Node_Igra_Lnig_0, 52, 11, 42, 0, 1, 0
Bput, 33, 5, 20, 0, 1, 0
Node_Sstr_Iele_0, 17, 1, 14, 0, 1, 0
Node_Ndub_Npic_0, 66, 1, 5, 0, 1, 0
Mtha, 43, 11, 10, 0, 1, 0
Eann, 3, 0, 2, 0, 1, 0
Npic, 42, 8, 32, 0, 1, 0
Ndub, 49, 6, 23, 0, 1, 0
Vvia, 43, 20, 10, 0, 1, 0
Amar, 3, 0, 2, 0, 1, 0
Node_Mvio_Dpun_0, 58, 14, 21, 0, 1, 0
Node_Pgib_Faur_0, 77, 31, 3, 0, 1, 0
Scol, 39, 8, 7, 0, 1, 0
Adom, 35, 1, 12, 0, 1, 0
Hvit, 16, 6, 5, 0, 1, 0
Pame, 42, 8, 21, 0, 1, 0
Iele, 18, 5, 4, 0, 1, 0
Sgre, 54, 6, 10, 0, 1, 0
Tocc, 32, 0, 9, 0, 1, 0
Node_Lkoh_Adom_0, 36, 11, 17, 0, 1, 0
Node_Sstr_Etor_0, 30, 2, 21, 0, 1, 0
Etor, 14, 0, 9, 0, 1, 0
Hcor, 32, 0, 22, 0, 1, 0
Node_Znev_Csec_0, 47, 1, 9, 0, 1, 0
Node_Pame_Znev_0, 55, 5, 2, 0, 1, 0
Node_Pgib_Fint_0, 42, 0, 35, 0, 1, 0
Pgib, 20, 2, 24, 0, 1, 0
Lnig, 42, 13, 22, 0, 1, 0
Igra, 36, 6, 8, 0, 1, 0
Lmig, 41, 7, 24, 0, 1, 0
Salt, 32, 11, 2, 0, 1, 0
Fint, 38, 15, 10, 0, 1, 0
Apis, 10, 5, 10, 0, 1, 0
Xbra, 34, 4, 26, 0, 1, 0
Lkoh, 23, 3, 16, 0, 1, 0
Sstr, 16, 0, 1, 0, 1, 0
Faur, 1, 0, 4, 0, 1, 0
Node_Sgre_Lmig_0, 58, 6, 4, 0, 1, 0
Dpun, 9, 0, 43, 0, 1, 0
Node_Bput_Pmon_0, 48, 0, 3, 0, 1, 0
Node_Hvit_Apis_0, 15, 0, 18, 0, 1, 0
Dtru, 29, 1, 28, 0, 1, 0
Bros, 25, 2, 10, 0, 1, 0
Daus, 25, 1, 5, 0, 1, 0
Node_Eocu_Ztra_0, 39, 8, 7, 0, 1, 0
Mvio, 26, 3, 22, 0, 1, 0
Node_Eann_Amar_0, 5, 1, 1, 0, 1, 0
Choo, 32, 6, 3, 0, 1, 0
Node_Faur_Eann_0, 5, 0, 65, 0, 1, 0
Tcri, 29, 5, 12, 0, 1, 0
Rspe, 32, 2, 8, 0, 1, 0
Pmon, 41, 1, 30, 0, 1, 0
Tsin, 33, 0, 11, 0, 1, 0
Node_Hcor_Tsin_0, 54, 0, 2, 0, 1, 0
Mrel, 33, 3, 14, 0, 1, 0
Znev, 26, 0, 21, 0, 1, 0
Node_Mtha_Tcri_0, 85, 8, 6, 0, 1, 0
Node_Faur_Igra_0, 70, 2, 9, 0, 1, 0
Node_Pmon_Ndub_0, 70, 31, 9, 0, 1, 0
Csec, 32, 5, 17, 0, 1, 0
Cfor, 22, 3, 19, 0, 1, 0
Node_Fint_Hvit_0, 33, 0, 9, 0, 1, 0
Node_Igra_Mtha_0, 83, 13, 0, 0, 1, 0
Node_Igra_Scol_0, 38, 9, 23, 0, 1, 0
