File		N.hits		Unique
Cfor		105		96
Tsin		135		98
Xbra		98		98
Lmin		26		26
Mvio		84		72
Iele		61		58
Znev		95		74
Scol		138		98
Npic		213		101
Salt		123		102
Vvia		105		99
Igra		164		95
Pame		93		93
Lnig		184		112
Pmon		166		110
Pgib		104		88
Lmig		87		87
Amar		1		1
Csec		130		108
Gbim		106		92
Faur		4		4
Tcal		74		70
Dtru		82		80
Daus		74		72
Adom		103		86
Apis		35		33
Eann		7		7
Sgre		92		91
Dpun		40		40
Etor		74		49
Mrel		87		72
Ltum		81		78
Sstr		41		39
Mext		84		80
Fint		164		80
Hcor		73		70
Tocc		93		84
Mtha		90		89
Rluc		82		81
Hvit		59		55
Bros		86		76
Choo		74		71
Rspe		106		97
Bpun		174		100
Lkoh		58		57
Ndub		197		114
