#Termitoidea
GCA_021186555.1	Rspe	Reticulitermes speratus
GCA_013340265.1	Cfor	Coptotermes formosanus
GCF_000696155.1	Znev	Zootermopsis nevadensis
GCF_002891405.2	Csec	Cryptotermes secundus
GCA_026260175.1	Rluc	Reticulitermes lucifugus
#Blattodea
GCA_025594305.2	Pame	Periplaneta americana
GCA_030220185.1	Dpun	Diploptera punctata
#Mantodea
GCA_030762935.1	Hcor	Hymenopus coronatus
GCA_030765045.1	Tsin	Tenodera sinensis
GCA_030765055.1 Mrel	Mantis religiosa
GCA_030765065.1	Dtru	Deroplatys truncata
GCA_030762175.1	Mvio	Metallyticus violacea
#Phasmatodea
GCA_032445375.1	Bros	Bacillus rossius
GCA_029891345.1	Daus	Dryococelus australis
GCA_902141385.1	Tcal	Tinema californicum
GCA_002778355.1	Choo	Clitarchus hookeri
GCA_003012365.1	Mext	Medauroidea extradentata
GCA_946902985.2 Mth2  Meconema thalassinum  
#Orthoptera
GCA_026315105.1 Lmig  Locusta migratoria
GCF_023897955.1 Sgre  Schistocerca gregaria
GCA_946902985.2	Mtha	Meconema thalassinum
GCA_031002005.1	Vvia	Vandiemenella viatica
GCA_017312745.1	Gbim	Gryllus bimaculatus
GCA_031308135.1	Adom	Acheta domesticus
GCA_900249655.1	Xbra	Xenocatantops brachycerus
GCA_002313205.1	Lkoh	Laupala kohalensis
GCA_011170035.1	Tocc	Teleogryllus occipitalis
GCA_034510155.1 Eocu  Eucriotettix oculatus
#Plecoptera
GCA_907164805.1	Bpun	Brachyptera putata
GCA_921293315.2	Npic	Nemurella pictetii
GCA_947568835.1	Pmon	Protonemura montana
GCA_921293005.1 Ndub	Nemoura dubitans
GCA_945910005.1 Igra	Isoperla grammatica
GCA_934045905.1 Lnig	Leuctra nigra
GCA_024449915.1 Scol	Swelts coloradensis
#Dermaptera
GCA_963082975.1	Lmin	Lebia minor
GCA_024734495.1 Faur	Forficula auricularia
GCA_023213315.1	Eann	Euborellia annulipes
GCA_010014785.2	Amar	Anisolabis maritima
#Odonata
GCF_921293095.1	Iele	Ischnura elegans
GCA_947579665.1	Sstr	Sympetrum striolatum
#Ephemeroptera
GCA_949825025.1	Salt	Siphlonurus alternatus
GCA_949318235.1	Etor	Ecdyonurus torrentis
#Hemiptera
GCF_005508785.2	Apis	Acyrthosiphon pisum
GCF_021130785.1	Hvit	Homalodisca vitripennis
#Psocoptera
GCA_963971405.1	Pgib	Psococerastis gibbosa
#Thysanoptera
GCA_033675135.1	Fint	Frankliniella intonsa
